INFO:Data Dim:[784, 30, 30, 10]
INFO:Iteration 3980, actual_batch_size 50, batch_loss 0.0686028003693, acc 0.980000019073
INFO:Iteration 4000, actual_batch_size 50, batch_loss 0.0936204344034, acc 0.939999997616
INFO:Iteration 4020, actual_batch_size 50, batch_loss 0.285241991282, acc 0.94000005722
INFO:Iteration 4040, actual_batch_size 50, batch_loss 0.150718167424, acc 0.979999959469
INFO:Iteration 4060, actual_batch_size 50, batch_loss 0.340448975563, acc 0.939999997616
INFO:Iteration 4080, actual_batch_size 50, batch_loss 0.136899128556, acc 0.94000005722
INFO:Iteration 4100, actual_batch_size 50, batch_loss 0.0108620692044, acc 1.0
INFO:Iteration 4120, actual_batch_size 50, batch_loss 0.189351126552, acc 0.959999978542
INFO:Iteration 4140, actual_batch_size 50, batch_loss 0.245640456676, acc 0.939999997616
INFO:Iteration 4160, actual_batch_size 50, batch_loss 0.223973706365, acc 0.939999997616
INFO:Iteration 4180, actual_batch_size 50, batch_loss 0.0954885259271, acc 0.959999978542
INFO:Iteration 4200, actual_batch_size 50, batch_loss 0.113743394613, acc 0.960000038147
INFO:Iteration 4220, actual_batch_size 50, batch_loss 0.0675821453333, acc 0.960000038147
INFO:Iteration 4240, actual_batch_size 50, batch_loss 0.0422462075949, acc 1.0
INFO:Iteration 4260, actual_batch_size 50, batch_loss 0.30158546567, acc 0.920000016689
INFO:Iteration 4280, actual_batch_size 50, batch_loss 0.212172999978, acc 0.94000005722
INFO:Iteration 4300, actual_batch_size 50, batch_loss 0.173413664103, acc 0.939999938011
INFO:Iteration 4320, actual_batch_size 50, batch_loss 0.210938155651, acc 0.939999997616
INFO:Iteration 4340, actual_batch_size 50, batch_loss 0.304113388062, acc 0.900000035763
INFO:Iteration 4360, actual_batch_size 50, batch_loss 0.220634892583, acc 0.919999957085
INFO:Iteration 4380, actual_batch_size 50, batch_loss 0.106086596847, acc 0.980000019073
INFO:Iteration 4400, actual_batch_size 50, batch_loss 0.07748978585, acc 0.960000038147
INFO:Iteration 4420, actual_batch_size 50, batch_loss 0.14643125236, acc 0.960000038147
INFO:Iteration 4440, actual_batch_size 50, batch_loss 0.105387374759, acc 0.980000019073
INFO:Iteration 4460, actual_batch_size 50, batch_loss 0.0612118244171, acc 0.980000019073
INFO:Iteration 4480, actual_batch_size 50, batch_loss 0.39111328125, acc 0.939999997616
INFO:Iteration 4500, actual_batch_size 50, batch_loss 0.0128048276529, acc 1.0
INFO:Iteration 4520, actual_batch_size 50, batch_loss 0.00963010080159, acc 1.0
INFO:Iteration 4540, actual_batch_size 50, batch_loss 0.0886106863618, acc 0.980000019073
INFO:Iteration 4560, actual_batch_size 50, batch_loss 0.0518867596984, acc 0.979999959469
INFO:Iteration 4580, actual_batch_size 50, batch_loss 0.0767795741558, acc 0.979999959469
INFO:Iteration 4600, actual_batch_size 50, batch_loss 0.133574008942, acc 0.959999978542
INFO:Iteration 4620, actual_batch_size 50, batch_loss 0.11699604243, acc 0.979999959469
INFO:Iteration 4640, actual_batch_size 50, batch_loss 0.148225903511, acc 0.980000019073
INFO:Iteration 4660, actual_batch_size 50, batch_loss 0.0543232858181, acc 0.980000019073
INFO:Iteration 4680, actual_batch_size 50, batch_loss 0.0659601017833, acc 0.979999959469
INFO:Iteration 4700, actual_batch_size 50, batch_loss 0.0846184268594, acc 0.960000038147
INFO:Iteration 4720, actual_batch_size 50, batch_loss 0.196165576577, acc 0.959999978542
INFO:Iteration 4740, actual_batch_size 50, batch_loss 0.0650619640946, acc 0.979999959469
INFO:Iteration 4760, actual_batch_size 50, batch_loss 0.0344770662487, acc 1.0
INFO:Iteration 4780, actual_batch_size 50, batch_loss 0.00903777219355, acc 1.0
INFO:Iteration 4800, actual_batch_size 50, batch_loss 0.183660566807, acc 0.94000005722
INFO:Iteration 4820, actual_batch_size 50, batch_loss 0.103920832276, acc 0.959999978542
INFO:Iteration 4840, actual_batch_size 50, batch_loss 0.0194415450096, acc 1.0
INFO:Iteration 4860, actual_batch_size 50, batch_loss 0.0442372076213, acc 0.979999959469
INFO:Iteration 4880, actual_batch_size 50, batch_loss 0.219139769673, acc 0.900000035763
INFO:Iteration 4900, actual_batch_size 50, batch_loss 0.15768994391, acc 0.959999978542
INFO:Iteration 4920, actual_batch_size 50, batch_loss 0.235674664378, acc 0.959999978542
INFO:Iteration 4940, actual_batch_size 50, batch_loss 0.126369774342, acc 0.960000038147
INFO:Iteration 4960, actual_batch_size 50, batch_loss 0.126281306148, acc 0.979999959469
INFO:Iteration 4980, actual_batch_size 50, batch_loss 0.16660694778, acc 0.920000016689
INFO:Iteration 5000, actual_batch_size 50, batch_loss 0.270199686289, acc 0.920000016689
INFO:Iteration 5020, actual_batch_size 50, batch_loss 0.0719083547592, acc 0.980000019073
INFO:Iteration 5040, actual_batch_size 50, batch_loss 0.0442617051303, acc 0.979999959469
INFO:Iteration 5060, actual_batch_size 50, batch_loss 0.234343871474, acc 0.939999997616
INFO:Iteration 5080, actual_batch_size 50, batch_loss 0.0162788499147, acc 1.0
INFO:Iteration 5100, actual_batch_size 50, batch_loss 0.161517351866, acc 0.939999997616
INFO:Iteration 5120, actual_batch_size 50, batch_loss 0.073185890913, acc 0.959999978542
INFO:Iteration 5140, actual_batch_size 50, batch_loss 0.124597400427, acc 0.960000038147
INFO:Iteration 5160, actual_batch_size 50, batch_loss 0.0277402307838, acc 1.0
INFO:Iteration 5180, actual_batch_size 50, batch_loss 0.0782369300723, acc 0.959999978542
INFO:Iteration 5200, actual_batch_size 50, batch_loss 0.088668987155, acc 0.980000019073
INFO:Iteration 5220, actual_batch_size 50, batch_loss 0.0497558116913, acc 0.980000019073
INFO:Iteration 5240, actual_batch_size 50, batch_loss 0.0220843069255, acc 1.0
INFO:Iteration 5260, actual_batch_size 50, batch_loss 0.157721310854, acc 0.980000019073
INFO:Iteration 5280, actual_batch_size 50, batch_loss 0.188381880522, acc 0.959999978542
INFO:Iteration 5300, actual_batch_size 50, batch_loss 0.0173175781965, acc 1.0
INFO:Iteration 5320, actual_batch_size 50, batch_loss 0.0272432062775, acc 1.0
INFO:Iteration 5340, actual_batch_size 50, batch_loss 0.0505421981215, acc 0.980000019073
INFO:Iteration 5360, actual_batch_size 50, batch_loss 0.114493981004, acc 0.959999978542
INFO:Iteration 5380, actual_batch_size 50, batch_loss 0.0640221089125, acc 0.959999978542
INFO:Iteration 5400, actual_batch_size 50, batch_loss 0.0766491666436, acc 0.960000038147
INFO:Iteration 5420, actual_batch_size 50, batch_loss 0.115338996053, acc 0.960000038147
INFO:Iteration 5440, actual_batch_size 50, batch_loss 0.364266097546, acc 0.899999976158
INFO:Iteration 5460, actual_batch_size 50, batch_loss 0.0235027261078, acc 1.0
INFO:Iteration 5480, actual_batch_size 50, batch_loss 0.39614418149, acc 0.959999978542
INFO:Iteration 5500, actual_batch_size 50, batch_loss 0.409972727299, acc 0.879999995232
INFO:Iteration 5520, actual_batch_size 50, batch_loss 0.290662258863, acc 0.939999997616
INFO:Iteration 5540, actual_batch_size 50, batch_loss 0.146692737937, acc 0.919999957085
INFO:Iteration 5560, actual_batch_size 50, batch_loss 0.0872215181589, acc 0.959999978542
INFO:Iteration 5580, actual_batch_size 50, batch_loss 0.0892760455608, acc 0.980000019073
INFO:Iteration 5600, actual_batch_size 50, batch_loss 0.240001544356, acc 0.939999997616
INFO:Iteration 5620, actual_batch_size 50, batch_loss 0.0918705463409, acc 0.939999997616
